(6198,99020)
(18167,99092)
(4560,99157)
(17052,99407)
(13729,99409)
(10989,99428)
(16385,99614)
(16483,99674)
(11451,99695)
(18982,99921)
(3207,99932)
(18354,99962)
(7184,99972)
(802,99980)
(13549,100167)
(16455,100259)
(4165,100459)
(976,100478)
(5790,100521)
(13188,100552)
(12295,100658)
(12220,100700)
(11381,100759)
(16902,100961)
(2560,100995)
(1310,101005)
(7303,101029)
(8682,101071)
(1294,101210)
(14149,101342)
(13224,101393)
(15128,101395)
(9095,101426)
(1676,101519)
(13651,101538)
(7661,101635)
(1785,101654)
(3989,101676)
(10003,101695)
(15907,101708)
(1499,101743)
(11355,101753)
(13300,101838)
(5731,101999)
(18416,102017)
(10499,102030)
(8045,102064)
(3312,102113)
(5949,102173)
(12914,102180)
(17574,102269)
(6324,102371)
(8515,102461)
(3586,102489)
(9276,102516)
(7142,102619)
(3745,102653)
(2256,102668)
(1206,102766)
(15549,102792)
(604,102814)
(10221,102844)
(13252,102875)
(4380,102913)
